DTXSID,ss_cas,ss_chemname,total_enrich_feat,SS_score,uc_chemname,uc_cas,bc_DTXSID,bc_chemname,bc_cas,sr_cor,sr_pval,PS_score,prioritization_score
DTXSID70168762,16982-00-6,"(R)-(+)-p-(1,2,2-Trimethylcyclopentyl)toluene",1,0.25,"(R)-(+)-p-(1,2,2-Trimethylcyclopentyl)toluene",16982-00-6,DTXSID7022413,Isoeugenol,97-54-1,0.27272727272727276,0.39123274602615465,0.40804597701149425,0.6580459770114943
DTXSID9073884,75-13-8,Isocyanic acid,0,0,Isocyanic acid,75-13-8,DTXSID3020964,Nitrobenzene,98-95-3,0.5734265734265734,0.05548132408162134,0.6551724137931034,0.6551724137931034
DTXSID5031131,131-18-0,Dipentyl phthalate,0,0,Dipentyl phthalate,131-18-0,DTXSID7022413,Isoeugenol,97-54-1,0.5664335664335665,0.059034148215904074,0.6494252873563218,0.6494252873563218
DTXSID0021599,629-08-3,Heptanenitrile,0,0,Heptanenitrile,629-08-3,DTXSID3020964,Nitrobenzene,98-95-3,0.5594405594405595,0.06274871992683886,0.6436781609195403,0.6436781609195403
DTXSID9060867,629-20-9,"1,3,5,7-Cyclooctatetraene",0,0,"1,3,5,7-Cyclooctatetraene",629-20-9,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.5594405594405595,0.06274871992683886,0.6436781609195403,0.6436781609195403
DTXSID50860878,29493-00-3,6-?Dodecene,1,0.25,6-?Dodecene,29493-00-3,DTXSID7022413,Isoeugenol,97-54-1,0.24475524475524477,0.44350427562788497,0.3850574712643678,0.6350574712643677
DTXSID1025227,112-95-8,Eicosane,0,0,Eicosane,112-95-8,DTXSID7022413,Isoeugenol,97-54-1,0.5454545454545455,0.07067890506141748,0.6321839080459771,0.6321839080459771
DTXSID40863959,6920-22-5,"1,2-Hexanediol",0,0,"1,2-Hexanediol",6920-22-5,DTXSID7022413,Isoeugenol,97-54-1,0.5454545454545455,0.07067890506141748,0.6321839080459771,0.6321839080459771
DTXSID9052478,7425-14-1,2-Ethylhexyl 2-ethylhexanoate,0,0,2-Ethylhexyl 2-ethylhexanoate,7425-14-1,DTXSID7022413,Isoeugenol,97-54-1,0.5454545454545455,0.07067890506141748,0.6321839080459771,0.6321839080459771
DTXSID10863365,4316-65-8,"3,5,5-Trimethylhex-1-ene",2,0.5,"3,5,5-Trimethylhex-1-ene",4316-65-8,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,-0.06293706293706294,0.8516819112532925,0.13218390804597702,0.632183908045977
DTXSID00863258,3728-54-9,1-Ethyl-2-methylcyclohexane,1,0.25,1-Ethyl-2-methylcyclohexane,3728-54-9,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.2307692307692308,0.47090569352639616,0.3735632183908046,0.6235632183908046
DTXSID2061012,696-29-7,"Cyclohexane, (1-methylethyl)-",1,0.25,"Cyclohexane, (1-methylethyl)-",696-29-7,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.2307692307692308,0.47090569352639616,0.3735632183908046,0.6235632183908046
DTXSID50460872,3650-28-0,(+)-Sativene,2,0.5,(+)-Sativene,3650-28-0,DTXSID7022413,Isoeugenol,97-54-1,-0.08391608391608392,0.8001975179523347,0.11494252873563221,0.6149425287356323
DTXSID4025111,75-83-2,"2,2-Dimethylbutane",0,0,"2,2-Dimethylbutane",75-83-2,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.5244755244755246,0.08388458723291484,0.6149425287356322,0.6149425287356322
DTXSID10858731,591-21-9,"1,3-Dimethylcyclohexane",1,0.25,"1,3-Dimethylcyclohexane",591-21-9,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.21678321678321683,0.49911474762536273,0.3620689655172414,0.6120689655172413
DTXSID30858738,638-04-0,"(Z)-1,3-Dimethylcyclohexane",1,0.25,"(Z)-1,3-Dimethylcyclohexane",638-04-0,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.21678321678321683,0.49911474762536273,0.3620689655172414,0.6120689655172413
